"Bevolkingsontwikkeling; levendgeborenen, overledenen en migratie, per dag"
"Donderdag 8 juni 1995";"587"
"Vrijdag 9 juni 1995";"565"
"Zaterdag 10 juni 1995";"450"
"Zondag 11 juni 1995";"436"
"Maandag 12 juni 1995";"538"
"Dinsdag 13 juni 1995";"547"
"Woensdag 14 juni 1995";"596"
"Donderdag 15 juni 1995";"580"
"Vrijdag 16 juni 1995";"583"
"Zaterdag 17 juni 1995";"466"
"Zondag 18 juni 1995";"415"
"Maandag 19 juni 1995";"572"
"Dinsdag 20 juni 1995";"607"
"Woensdag 21 juni 1995";"621"
"Donderdag 22 juni 1995";"563"
"Vrijdag 23 juni 1995";"589"
"Zaterdag 24 juni 1995";"464"
"Zondag 25 juni 1995";"436"
"Maandag 26 juni 1995";"560"
"Dinsdag 27 juni 1995";"620"
"Woensdag 28 juni 1995";"591"
"Donderdag 29 juni 1995";"587"
"Vrijdag 30 juni 1995";"581"
"Totaal juli 1995";"16698"
"Zaterdag 1 juli 1995";"463"
"Zondag 2 juli 1995";"442"
"Maandag 3 juli 1995";"549"
"Dinsdag 4 juli 1995";"558"
"Woensdag 5 juli 1995";"583"
"Donderdag 6 juli 1995";"568"
"Vrijdag 7 juli 1995";"624"
"Zaterdag 8 juli 1995";"471"
"Zondag 9 juli 1995";"501"
"Maandag 10 juli 1995";"550"
"Dinsdag 11 juli 1995";"635"
"Woensdag 12 juli 1995";"635"
"Donderdag 13 juli 1995";"586"
"Vrijdag 14 juli 1995";"563"
"Zaterdag 15 juli 1995";"481"
"Zondag 16 juli 1995";"414"
"Maandag 17 juli 1995";"517"
"Dinsdag 18 juli 1995";"586"
"Woensdag 19 juli 1995";"573"
"Donderdag 20 juli 1995";"568"
"Vrijdag 21 juli 1995";"595"
"Zaterdag 22 juli 1995";"488"
"Zondag 23 juli 1995";"408"
"Maandag 24 juli 1995";"551"
"Dinsdag 25 juli 1995";"601"
"Woensdag 26 juli 1995";"569"
"Donderdag 27 juli 1995";"591"
"Vrijdag 28 juli 1995";"558"
"Zaterdag 29 juli 1995";"469"
"Zondag 30 juli 1995";"451"
"Maandag 31 juli 1995";"550"
"Totaal augustus 1995";"16491"
"Dinsdag 1 augustus 1995";"603"
"Woensdag 2 augustus 1995";"575"
"Donderdag 3 augustus 1995";"571"
"Vrijdag 4 augustus 1995";"544"
"Zaterdag 5 augustus 1995";"489"
"Zondag 6 augustus 1995";"430"
"Maandag 7 augustus 1995";"526"
"Dinsdag 8 augustus 1995";"606"
"Woensdag 9 augustus 1995";"561"
"Donderdag 10 augustus 1995";"556"
"Vrijdag 11 augustus 1995";"561"
"Zaterdag 12 augustus 1995";"493"
"Zondag 13 augustus 1995";"489"
"Maandag 14 augustus 1995";"523"
"Dinsdag 15 augustus 1995";"567"
"Woensdag 16 augustus 1995";"545"
"Donderdag 17 augustus 1995";"561"
"Vrijdag 18 augustus 1995";"576"
"Zaterdag 19 augustus 1995";"427"
"Zondag 20 augustus 1995";"451"
"Maandag 21 augustus 1995";"539"
"Dinsdag 22 augustus 1995";"566"
"Woensdag 23 augustus 1995";"611"
"Donderdag 24 augustus 1995";"547"
"Vrijdag 25 augustus 1995";"554"
"Zaterdag 26 augustus 1995";"431"
"Zondag 27 augustus 1995";"404"
"Maandag 28 augustus 1995";"519"
"Dinsdag 29 augustus 1995";"530"
"Woensdag 30 augustus 1995";"552"
"Donderdag 31 augustus 1995";"584"
"Totaal september 1995";"16222"
"Vrijdag 1 september 1995";"583"
"Zaterdag 2 september 1995";"409"
"Zondag 3 september 1995";"475"
"Maandag 4 september 1995";"514"
"Dinsdag 5 september 1995";"594"
"Woensdag 6 september 1995";"579"
"Donderdag 7 september 1995";"583"
"Vrijdag 8 september 1995";"540"
"Zaterdag 9 september 1995";"443"
"Zondag 10 september 1995";"452"
"Maandag 11 september 1995";"604"
"Dinsdag 12 september 1995";"595"
"Woensdag 13 september 1995";"601"
"Donderdag 14 september 1995";"498"
"Vrijdag 15 september 1995";"589"
"Zaterdag 16 september 1995";"436"
"Zondag 17 september 1995";"464"
"Maandag 18 september 1995";"539"
"Dinsdag 19 september 1995";"589"
"Woensdag 20 september 1995";"582"
"Donderdag 21 september 1995";"557"
"Vrijdag 22 september 1995";"567"
"Zaterdag 23 september 1995";"433"
"Zondag 24 september 1995";"502"
"Maandag 25 september 1995";"583"
"Dinsdag 26 september 1995";"624"
"Woensdag 27 september 1995";"545"
"Donderdag 28 september 1995";"655"
"Vrijdag 29 september 1995";"622"
"Zaterdag 30 september 1995";"465"
"Totaal oktober 1995";"16508"
"Zondag 1 oktober 1995";"443"
"Maandag 2 oktober 1995";"570"
"Dinsdag 3 oktober 1995";"659"
"Woensdag 4 oktober 1995";"640"
"Donderdag 5 oktober 1995";"597"
"Vrijdag 6 oktober 1995";"598"
"Zaterdag 7 oktober 1995";"423"
"Zondag 8 oktober 1995";"455"
"Maandag 9 oktober 1995";"566"
"Dinsdag 10 oktober 1995";"622"
"Woensdag 11 oktober 1995";"624"
"Donderdag 12 oktober 1995";"582"
"Vrijdag 13 oktober 1995";"537"
"Zaterdag 14 oktober 1995";"437"
"Zondag 15 oktober 1995";"441"
"Maandag 16 oktober 1995";"542"
"Dinsdag 17 oktober 1995";"547"
"Woensdag 18 oktober 1995";"590"
"Donderdag 19 oktober 1995";"568"
"Vrijdag 20 oktober 1995";"536"
"Zaterdag 21 oktober 1995";"453"
"Zondag 22 oktober 1995";"420"
"Maandag 23 oktober 1995";"532"
"Dinsdag 24 oktober 1995";"591"
"Woensdag 25 oktober 1995";"556"
"Donderdag 26 oktober 1995";"537"
"Vrijdag 27 oktober 1995";"549"
"Zaterdag 28 oktober 1995";"411"
"Zondag 29 oktober 1995";"402"
"Maandag 30 oktober 1995";"545"
"Dinsdag 31 oktober 1995";"535"
"Totaal november 1995";"15199"
"Woensdag 1 november 1995";"590"
"Donderdag 2 november 1995";"520"
"Vrijdag 3 november 1995";"552"
"Zaterdag 4 november 1995";"462"
"Zondag 5 november 1995";"428"
"Maandag 6 november 1995";"495"
"Dinsdag 7 november 1995";"560"
"Woensdag 8 november 1995";"553"
"Donderdag 9 november 1995";"537"
"Vrijdag 10 november 1995";"563"
"Zaterdag 11 november 1995";"422"
"Zondag 12 november 1995";"418"
"Maandag 13 november 1995";"485"
"Dinsdag 14 november 1995";"566"
"Woensdag 15 november 1995";"580"
"Donderdag 16 november 1995";"547"
"Vrijdag 17 november 1995";"482"
"Zaterdag 18 november 1995";"448"
"Zondag 19 november 1995";"376"
"Maandag 20 november 1995";"497"
"Dinsdag 21 november 1995";"548"
"Woensdag 22 november 1995";"563"
"Donderdag 23 november 1995";"528"
"Vrijdag 24 november 1995";"502"
"Zaterdag 25 november 1995";"433"
"Zondag 26 november 1995";"420"
"Maandag 27 november 1995";"484"
"Dinsdag 28 november 1995";"548"
"Woensdag 29 november 1995";"560"
"Donderdag 30 november 1995";"532"
"Totaal december 1995";"14733"
"Vrijdag 1 december 1995";"493"
"Zaterdag 2 december 1995";"392"
"Zondag 3 december 1995";"350"
"Maandag 4 december 1995";"492"
"Dinsdag 5 december 1995";"461"
"Woensdag 6 december 1995";"521"
"Donderdag 7 december 1995";"534"
"Vrijdag 8 december 1995";"523"
"Zaterdag 9 december 1995";"407"
"Zondag 10 december 1995";"384"
"Maandag 11 december 1995";"511"
"Dinsdag 12 december 1995";"541"
"Woensdag 13 december 1995";"526"
"Donderdag 14 december 1995";"536"
"Vrijdag 15 december 1995";"563"
"Zaterdag 16 december 1995";"438"
"Zondag 17 december 1995";"378"
"Maandag 18 december 1995";"532"
"Dinsdag 19 december 1995";"532"
"Woensdag 20 december 1995";"568"
"Donderdag 21 december 1995";"495"
"Vrijdag 22 december 1995";"565"
"Zaterdag 23 december 1995";"454"
"Zondag 24 december 1995";"408"
"Maandag 25 december 1995";"385"
"Dinsdag 26 december 1995";"358"
"Woensdag 27 december 1995";"454"
"Donderdag 28 december 1995";"565"
"Vrijdag 29 december 1995";"546"
"Zaterdag 30 december 1995";"431"
"Zondag 31 december 1995";"390"
"Totaal op zondag in 1995";"22538"
"Totaal op maandag in 1995";"27454"
"Totaal op dinsdag in 1995";"29652"
"Totaal op woensdag in 1995";"29893"
"Totaal op donderdag in 1995";"29224"
"Totaal op vrijdag in 1995";"28786"
"Totaal op zaterdag in 1995";"22966"
"Totaal 1996";"189521"
"Totaal januari 1996";"15272"
"Maandag 1 januari 1996";"408"
"Dinsdag 2 januari 1996";"503"
"Woensdag 3 januari 1996";"556"
"Donderdag 4 januari 1996";"564"
"Vrijdag 5 januari 1996";"554"
"Zaterdag 6 januari 1996";"389"
"Zondag 7 januari 1996";"377"
"Maandag 8 januari 1996";"556"
"Dinsdag 9 januari 1996";"559"
"Woensdag 10 januari 1996";"553"
"Donderdag 11 januari 1996";"529"
"Vrijdag 12 januari 1996";"523"
"Zaterdag 13 januari 1996";"379"
"Zondag 14 januari 1996";"391"
"Maandag 15 januari 1996";"493"
"Dinsdag 16 januari 1996";"557"
"Woensdag 17 januari 1996";"486"
"Donderdag 18 januari 1996";"497"
"Vrijdag 19 januari 1996";"513"
"Zaterdag 20 januari 1996";"418"
"Zondag 21 januari 1996";"388"
"Maandag 22 januari 1996";"522"
"Dinsdag 23 januari 1996";"539"
"Woensdag 24 januari 1996";"495"
"Donderdag 25 januari 1996";"538"
"Vrijdag 26 januari 1996";"567"
"Zaterdag 27 januari 1996";"408"
"Zondag 28 januari 1996";"402"
"Maandag 29 januari 1996";"526"
"Dinsdag 30 januari 1996";"561"
"Woensdag 31 januari 1996";"521"
"Totaal februari 1996";"14972"
"Donderdag 1 februari 1996";"547"
"Vrijdag 2 februari 1996";"539"
"Zaterdag 3 februari 1996";"459"
"Zondag 4 februari 1996";"436"
"Maandag 5 februari 1996";"521"
"Dinsdag 6 februari 1996";"587"
"Woensdag 7 februari 1996";"536"
"Donderdag 8 februari 1996";"504"
"Vrijdag 9 februari 1996";"503"
"Zaterdag 10 februari 1996";"459"
"Zondag 11 februari 1996";"445"
"Maandag 12 februari 1996";"519"
"Dinsdag 13 februari 1996";"602"
"Woensdag 14 februari 1996";"536"
"Donderdag 15 februari 1996";"539"
"Vrijdag 16 februari 1996";"543"
"Zaterdag 17 februari 1996";"479"
"Zondag 18 februari 1996";"436"
"Maandag 19 februari 1996";"556"
"Dinsdag 20 februari 1996";"565"
"Woensdag 21 februari 1996";"567"
"Donderdag 22 februari 1996";"512"
"Vrijdag 23 februari 1996";"541"
"Zaterdag 24 februari 1996";"457"
"Zondag 25 februari 1996";"412"
"Maandag 26 februari 1996";"520"
"Dinsdag 27 februari 1996";"564"
"Woensdag 28 februari 1996";"589"
"Donderdag 29 februari 1996";"499"
"Totaal maart 1996";"15531"
"Vrijdag 1 maart 1996";"560"
"Zaterdag 2 maart 1996";"397"
"Zondag 3 maart 1996";"417"
"Maandag 4 maart 1996";"523"
"Dinsdag 5 maart 1996";"573"
"Woensdag 6 maart 1996";"516"
"Donderdag 7 maart 1996";"509"
"Vrijdag 8 maart 1996";"509"
"Zaterdag 9 maart 1996";"400"
"Zondag 10 maart 1996";"464"
"Maandag 11 maart 1996";"503"
"Dinsdag 12 maart 1996";"557"
"Woensdag 13 maart 1996";"499"
"Donderdag 14 maart 1996";"582"
"Vrijdag 15 maart 1996";"526"
"Zaterdag 16 maart 1996";"424"
"Zondag 17 maart 1996";"389"
"Maandag 18 maart 1996";"560"
"Dinsdag 19 maart 1996";"543"
"Woensdag 20 maart 1996";"517"
"Donderdag 21 maart 1996";"567"
"Vrijdag 22 maart 1996";"515"
"Zaterdag 23 maart 1996";"444"
"Zondag 24 maart 1996";"405"
"Maandag 25 maart 1996";"537"
"Dinsdag 26 maart 1996";"600"
"Woensdag 27 maart 1996";"543"
"Donderdag 28 maart 1996";"583"
"Vrijdag 29 maart 1996";"531"
"Zaterdag 30 maart 1996";"412"
"Zondag 31 maart 1996";"426"
"Totaal april 1996";"15090"
"Maandag 1 april 1996";"564"
"Dinsdag 2 april 1996";"584"
"Woensdag 3 april 1996";"554"
"Donderdag 4 april 1996";"566"
"Vrijdag 5 april 1996";"543"
"Zaterdag 6 april 1996";"423"
"Zondag 7 april 1996";"408"
"Maandag 8 april 1996";"395"
"Dinsdag 9 april 1996";"514"
"Woensdag 10 april 1996";"560"
"Donderdag 11 april 1996";"539"
"Vrijdag 12 april 1996";"567"
"Zaterdag 13 april 1996";"433"
"Zondag 14 april 1996";"433"
"Maandag 15 april 1996";"509"
"Dinsdag 16 april 1996";"553"
"Woensdag 17 april 1996";"587"
"Donderdag 18 april 1996";"537"
"Vrijdag 19 april 1996";"540"
"Zaterdag 20 april 1996";"438"
"Zondag 21 april 1996";"450"
"Maandag 22 april 1996";"538"
"Dinsdag 23 april 1996";"562"
"Woensdag 24 april 1996";"493"
"Donderdag 25 april 1996";"506"
"Vrijdag 26 april 1996";"524"
"Zaterdag 27 april 1996";"406"
"Zondag 28 april 1996";"418"
"Maandag 29 april 1996";"494"
"Dinsdag 30 april 1996";"452"
"Totaal mei 1996";"15901"
"Woensdag 1 mei 1996";"522"
"Donderdag 2 mei 1996";"541"
"Vrijdag 3 mei 1996";"572"
"Zaterdag 4 mei 1996";"477"
"Zondag 5 mei 1996";"425"
"Maandag 6 mei 1996";"504"
"Dinsdag 7 mei 1996";"573"
"Woensdag 8 mei 1996";"522"
"Donderdag 9 mei 1996";"543"
"Vrijdag 10 mei 1996";"521"
"Zaterdag 11 mei 1996";"454"
"Zondag 12 mei 1996";"395"
"Maandag 13 mei 1996";"529"
"Dinsdag 14 mei 1996";"572"
"Woensdag 15 mei 1996";"592"
"Donderdag 16 mei 1996";"468"
"Vrijdag 17 mei 1996";"510"
"Zaterdag 18 mei 1996";"467"
"Zondag 19 mei 1996";"409"
"Maandag 20 mei 1996";"554"
"Dinsdag 21 mei 1996";"564"
"Woensdag 22 mei 1996";"565"
"Donderdag 23 mei 1996";"545"
"Vrijdag 24 mei 1996";"529"
"Zaterdag 25 mei 1996";"442"
"Zondag 26 mei 1996";"422"
"Maandag 27 mei 1996";"409"
"Dinsdag 28 mei 1996";"540"
"Woensdag 29 mei 1996";"585"
"Donderdag 30 mei 1996";"575"
"Vrijdag 31 mei 1996";"575"
"Totaal juni 1996";"15567"
"Zaterdag 1 juni 1996";"430"
"Zondag 2 juni 1996";"375"
"Maandag 3 juni 1996";"524"
